aitable_record_id,source_created_at,source_updated_at,language_name,language_code
recNyQ0y51Np7,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Kongo,kg
rectZpM2HuGM6,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Korean,ko
recBYpY5MGZrv,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Kreol morisien,mfe
recRE6tJBx1dB,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Kreol Seselwa,crs
recbKiPTSkxZu,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Krio,kri
rec8uUtFkfV2I,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Kurdish,ckb
rec8B6LFNcs9t,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Kyrgyz,ky
recMeIzqLPN8l,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Lao,lo
reclVtIJtOY9C,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Latvian,lv
recxVdE1NcXx5,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Lingala,ln
recFiMHiqVb3j,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Lithuanian,lt
rec064JQgWtqO,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Luo,ach
recsSyaV2QrEb,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Macedonian,mk
rec3DzfqzONHi,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Malagasy,mg
recfk7HoDtohm,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Malay,ms
reca0pEOzWIYl,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Malayam,ml
rec4NaLwDOwW5,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Maltese,mt
recppaERxyiGL,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Maori,mi
recAvkWwWPlsH,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Marathi,mr
recBJOP2Jmmkq,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Mongolian,mn
recjidyDhDmYP,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Montenegro,sr-ME
recE1JdGZA4xl,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Nepali,ne
recnbjIH4vnOQ,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Northern Sotho,nso
rec7Tv6Fj1Yi1,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Norwegian,no
recmkW23KwtqK,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Nyankole,nyn
recNBp0FXdI9Z,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Oromo,om
recbqriiXtcGu,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Pashto,ps
recPUfEGoHWcC,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Pidgin,pcm
